"","Month","2018","2019","2020","2021","2022"
"2","January",328,328,286,324,279
"3","February",243,242,241,288,225
"4","March",203,184,128,223,217
"5","April",222,211,110,202,255
"6","May",217,221,144,146,212
"7","June",202,189,123,147,190
"8","July",104,134,84,110,87
"9","August",111,86,64,107,93
"10","September",112,98,116,78,104
"11","October",269,234,266,173,210
"12","November",335,312,328,377,320
"13","December",360,337,332,336,319
